transaction_id,timestamp,amount,merchant_category,country,distance_from_home_km,velocity_1h,account_age_days,cvv_match,is_new_device,is_new_shipping_address,is_fraud,card_id
7cc96b88-3e6e-4adc-b318-b058f545e682,2026-02-12 13:02:00,22.99,restaurant,CN,4.82,1,93.9,True,False,False,0,757628
460f243d-ad7a-47f9-848d-21fd58f06957,2026-02-21 12:40:00,117.21,restaurant,GB,15.21,0,56.7,True,False,False,0,337362
1fbbb93f-aa5c-4ee0-9546-913f416e5310,2026-03-07 10:46:00,107.09,online_retail,BR,19.18,0,796.2,True,False,False,0,216346
98420bb4-83e3-4041-bc98-6a938bd83cf7,2026-04-30 06:22:00,87.16,electronics,NG,2.87,1,310.4,True,False,False,0,186365
63d75569-a508-4d4e-bab4-404dafbdfb3b,2026-01-15 21:55:00,19.91,restaurant,IN,82.06,0,303.4,True,False,False,0,145119
ec0b038c-6b38-4a2b-a174-e809020d8688,2026-03-08 10:34:00,71.48,travel,GB,4.97,1,167.8,True,False,False,0,737025
498bd566-284d-4fc8-a67f-3973dfc56f53,2026-01-06 22:41:00,47.42,online_retail,RU,49.42,1,295.4,True,False,False,0,260598
01d75b43-fae5-4bc6-9df5-0b6f1529fb3d,2026-03-19 14:31:00,14.41,restaurant,DE,34.78,2,213.2,True,False,False,0,841406
606e4352-9edc-48f1-8dcd-108c10971a71,2026-02-11 20:19:00,5.35,travel,GB,8.12,1,1325.1,True,False,False,0,200570
d2c78fc2-fbdc-4e25-8b3e-fa67028a0241,2026-01-04 05:53:00,94.43,travel,FR,36.7,2,91.7,True,False,False,0,998135
3097e43c-b44b-4a9d-ab04-f3aaea645197,2026-02-17 13:32:00,33.45,grocery,NG,3.93,1,1354.3,True,True,False,0,713790
6986563c-af15-4ab2-8c71-4148e0b55501,2026-04-03 08:32:00,14.17,utilities,IN,16.48,0,846.7,True,False,False,0,964942
79f0c3bd-28d5-427d-b9ac-bdd7f08424c7,2026-02-20 14:09:00,30.65,restaurant,DE,2.74,1,203.2,True,False,False,0,669583
54ed3874-2bc5-4112-a652-f984e7b384e8,2026-03-31 07:35:00,6.11,restaurant,GB,11.22,1,570.1,True,False,False,0,748934
8d642f49-89d6-416e-b0bb-4d3049b010b2,2026-03-05 18:58:00,18.25,electronics,GB,43.14,1,1259.8,True,False,False,0,953062
ad5d8b7b-15d3-47aa-87ed-38151bda753a,2026-02-26 21:35:00,38.17,fuel,RU,13.72,2,363.8,True,False,False,0,249506
474d33ec-0abb-48dc-a6bd-0ff0e8a7480d,2026-01-21 13:12:00,16.76,electronics,CA,66.18,0,665.6,True,False,False,0,646872
99f276a4-31db-45cc-89e2-0698f8467c70,2026-01-22 19:05:00,52.23,jewelry,DE,3.5,2,921.3,True,True,False,0,184442
76fbea57-3dea-463a-a70f-11cfb8bc604f,2026-04-09 10:11:00,34.02,grocery,US,95.83,0,249.0,True,False,False,0,617196
fc265114-bf4d-42c3-9239-08aca804717a,2026-01-22 21:33:00,24.13,restaurant,FR,14.81,0,178.8,True,False,False,0,265538
66e6df36-3195-4393-a111-5ec3b2925730,2026-02-22 23:24:00,45.2,restaurant,DE,53.85,0,48.7,True,False,False,0,449978
4129be04-8c6e-4d8d-9f71-ee2612c59c6f,2026-01-14 23:36:00,31.93,fuel,NG,1.28,0,1970.1,True,False,True,0,584143
df11fb68-6a18-4192-865e-a10232ada9b6,2026-01-11 09:24:00,34.45,fuel,GB,2.36,0,797.7,True,False,False,0,946133
78b4e98b-599b-418e-ae3e-2ff1f7bb8e0c,2026-02-23 09:32:00,92.87,travel,CA,4.5,1,403.6,True,False,False,0,577609
5fea02b7-4ac6-4538-b36f-33580f49be5e,2026-01-04 14:12:00,118.41,online_retail,CA,15.77,0,474.0,True,False,False,0,268777
d76e6efa-b36a-4bfd-bee2-83bed5b80a99,2026-02-27 07:34:00,40.75,restaurant,DE,15.48,1,151.2,True,False,False,0,525237
6d466890-4930-477c-b9a5-f699e422ecb3,2026-01-10 16:23:00,39.83,fuel,US,27.73,0,1972.7,True,False,False,0,102308
6503cee8-3601-4044-8e53-78ea45f0fd11,2026-04-18 16:24:00,214.59,online_retail,FR,9.72,0,67.7,True,False,False,0,343988
389cef21-43ea-41d8-9964-0c790182d8db,2026-04-17 15:52:00,157.55,restaurant,FR,37.22,1,1164.9,True,False,False,0,667707
2d3133aa-9ab8-408b-9fab-cfc82c565534,2026-03-19 11:51:00,340.91,entertainment,CN,12.99,0,437.5,True,False,False,0,875521
332f395c-edd7-4ec9-9474-83f722189942,2026-04-03 18:03:00,25.63,restaurant,GB,38.6,0,18.6,True,False,False,0,288808
